f[GHz],theta[deg],phi[deg],RCS[dB]
27,72,72,-21.126
27,74,72,-25.204
27,76,72,-22.019
27,78,72,-29.799
27,80,72,-17.576
27,82,72,-18.021
27,84,72,-24.626
27,86,72,-23.523
27,88,72,-19.078
27,90,72,-20.357
27,-90,74,-14.108
27,-88,74,-15.078
27,-86,74,-16.753
27,-84,74,-16.396
27,-82,74,-16.886
27,-80,74,-22.134
27,-78,74,-20.031
27,-76,74,-23.067
27,-74,74,-18.478
27,-72,74,-19.671
27,-70,74,-23.553
27,-68,74,-29.126
27,-66,74,-22.113
27,-64,74,-20.085
27,-62,74,-18.615
27,-60,74,-24.184
27,-58,74,-35.508
27,-56,74,-26.453
27,-54,74,-25.055
27,-52,74,-29.664
27,-50,74,-25.158
27,-48,74,-30.118
27,-46,74,-23.408
27,-44,74,-18.46
27,-42,74,-30.502
27,-40,74,-33.029
27,-38,74,-21.12
27,-36,74,-17.938
27,-34,74,-29.129
27,-32,74,-21.552
27,-30,74,-19.305
27,-28,74,-31.103
27,-26,74,-20.423
27,-24,74,-31.132
27,-22,74,-22.933
27,-20,74,-20.244
27,-18,74,-25.188
27,-16,74,-23.125
27,-14,74,-28.841
27,-12,74,-19.881
27,-10,74,-18.257
27,-8,74,-17.909
27,-6,74,-25.952
27,-4,74,-12.413
27,-2,74,-4.2172
27,0,74,0.93977
27,2,74,-2.6832
27,4,74,-8.6342
27,6,74,-11.37
27,8,74,-13.052
27,10,74,-12.124
27,12,74,-12.454
27,14,74,-17.185
27,16,74,-32.3
27,18,74,-16.062
27,20,74,-34.176
27,22,74,-28.49
27,24,74,-20.885
27,26,74,-22.629
27,28,74,-29.921
27,30,74,-17.168
27,32,74,-32.752
27,34,74,-23.218
27,36,74,-30.43
27,38,74,-20.794
27,40,74,-39.576
27,42,74,-30.047
27,44,74,-31.391
27,46,74,-31.647
27,48,74,-23.119
27,50,74,-28.673
27,52,74,-22.23
27,54,74,-32.275
27,56,74,-19.423
27,58,74,-26.523
27,60,74,-26.981
27,62,74,-21.94
27,64,74,-27.842
27,66,74,-23.754
27,68,74,-42.059
27,70,74,-20.906
27,72,74,-21.471
27,74,74,-24.973
27,76,74,-23.652
27,78,74,-26.243
27,80,74,-19.198
27,82,74,-18.587
27,84,74,-17.845
27,86,74,-21.671
27,88,74,-26.401
27,90,74,-32.573
27,-90,76,-18.402
27,-88,76,-18.447
27,-86,76,-23.576
27,-84,76,-21.817
27,-82,76,-14.679
27,-80,76,-18.128
27,-78,76,-20.343
27,-76,76,-22.385
27,-74,76,-25.293
27,-72,76,-31.457
27,-70,76,-32.783
27,-68,76,-31.629
27,-66,76,-28.398
27,-64,76,-22.046
27,-62,76,-21.807
27,-60,76,-27.09
27,-58,76,-30.675
27,-56,76,-24.581
27,-54,76,-22.343
27,-52,76,-24.094
27,-50,76,-21.069
27,-48,76,-39.73
27,-46,76,-22.598
27,-44,76,-20.821
27,-42,76,-27.26
27,-40,76,-36.472
27,-38,76,-20.278
27,-36,76,-20.936
27,-34,76,-40.548
27,-32,76,-18.312
27,-30,76,-22.32
27,-28,76,-25.034
27,-26,76,-18.316
27,-24,76,-39.776
27,-22,76,-25.493
27,-20,76,-23.333
27,-18,76,-28.969
27,-16,76,-23.313
27,-14,76,-21.623
27,-12,76,-19.157
27,-10,76,-17.522
27,-8,76,-18.612
27,-6,76,-28.488
27,-4,76,-12.08
27,-2,76,-4.0382
27,0,76,0.86477
27,2,76,-2.8642
27,4,76,-9.2432
27,6,76,-12.402
27,8,76,-13.474
27,10,76,-12.639
27,12,76,-11.701
27,14,76,-13.929
27,16,76,-26.857
27,18,76,-15.995
27,20,76,-32.386
27,22,76,-27.415
27,24,76,-25.143
27,26,76,-20.247
27,28,76,-24.022
27,30,76,-19.173
27,32,76,-31.467
27,34,76,-24.534
27,36,76,-22.719
27,38,76,-15.495
27,40,76,-29.034
27,42,76,-30.492
27,44,76,-33.298
27,46,76,-24.82
27,48,76,-18.783
27,50,76,-22.528
27,52,76,-32.86
27,54,76,-27.446
27,56,76,-19.957
27,58,76,-40.071
27,60,76,-23.787
27,62,76,-22.215
27,64,76,-31.846
27,66,76,-29.291
27,68,76,-34.33
27,70,76,-21.132
27,72,76,-22.811
27,74,76,-22.382
27,76,76,-27.869
27,78,76,-29.957
27,80,76,-20.161
27,82,76,-18.577
27,84,76,-22.522
27,86,76,-24.041
27,88,76,-23.253
27,90,76,-27.563
27,-90,78,-19.518
27,-88,78,-20.336
27,-86,78,-27.235
27,-84,78,-32.997
27,-82,78,-12.569
27,-80,78,-17.785
27,-78,78,-24.318
27,-76,78,-22.536
27,-74,78,-25.139
27,-72,78,-22.996
27,-70,78,-28.616
27,-68,78,-30.635
27,-66,78,-33.385
27,-64,78,-23.758
27,-62,78,-26.558
27,-60,78,-31.638
27,-58,78,-30.13
27,-56,78,-20.995
27,-54,78,-23.355
27,-52,78,-20.114
27,-50,78,-23.602
27,-48,78,-25.031
27,-46,78,-27.271
27,-44,78,-25.738
27,-42,78,-24.689
27,-40,78,-38.06
27,-38,78,-25.807
27,-36,78,-23.613
27,-34,78,-25.189
27,-32,78,-17.002
27,-30,78,-24.372
27,-28,78,-21.12
27,-26,78,-18.502
27,-24,78,-26.448
27,-22,78,-27.389
27,-20,78,-24.501
27,-18,78,-27.553
27,-16,78,-23.16
27,-14,78,-19.159
27,-12,78,-16.822
27,-10,78,-15.393
27,-8,78,-19.184
27,-6,78,-29.42
27,-4,78,-11.445
27,-2,78,-4.0232
27,0,78,1.0028
27,2,78,-2.8482
27,4,78,-10.109
27,6,78,-13.046
27,8,78,-14.271
27,10,78,-14.043
27,12,78,-11.46
27,14,78,-11.47
27,16,78,-22.771
27,18,78,-16.837
27,20,78,-27.842
27,22,78,-32.022
27,24,78,-25.345
27,26,78,-16.986
27,28,78,-22.354
27,30,78,-21.212
27,32,78,-39.99
27,34,78,-22.612
27,36,78,-26.3
27,38,78,-15.567
27,40,78,-27.416
27,42,78,-28.202
27,44,78,-24.384
27,46,78,-28.202
27,48,78,-16.593
27,50,78,-18.913
27,52,78,-32.071
27,54,78,-19.768
27,56,78,-32.127
27,58,78,-25.831
27,60,78,-21.425
27,62,78,-22.23
27,64,78,-25.037
27,66,78,-29.034
27,68,78,-34.935
27,70,78,-19.4
27,72,78,-19.276
27,74,78,-20.211
27,76,78,-30.453
27,78,78,-21.938
27,80,78,-18.841
27,82,78,-21.513
27,84,78,-18.281
27,86,78,-23.403
27,88,78,-25.488
27,90,78,-23.762
27,-90,80,-17.461
27,-88,80,-22.604
27,-86,80,-24.467
27,-84,80,-17.764
27,-82,80,-15.133
27,-80,80,-19.903
27,-78,80,-33.986
27,-76,80,-32.866
27,-74,80,-26.747
27,-72,80,-22.263
27,-70,80,-24.206
27,-68,80,-20.292
27,-66,80,-27.411
27,-64,80,-23.247
27,-62,80,-30.597
27,-60,80,-34.66
27,-58,80,-27.315
27,-56,80,-20.701
27,-54,80,-23.663
27,-52,80,-19.571
27,-50,80,-22.894
27,-48,80,-24.688
27,-46,80,-23.87
27,-44,80,-24.509
27,-42,80,-24.395
27,-40,80,-27.022
27,-38,80,-25.866
27,-36,80,-22.238
27,-34,80,-27.267
27,-32,80,-20.284
27,-30,80,-23.977
27,-28,80,-23.665
27,-26,80,-19.491
27,-24,80,-23.909
27,-22,80,-24.548
27,-20,80,-27.467
27,-18,80,-24.951
27,-16,80,-20.574
27,-14,80,-16.923
27,-12,80,-16.058
27,-10,80,-14.333
27,-8,80,-19.567
27,-6,80,-29.601
27,-4,80,-11.145
27,-2,80,-4.0072
27,0,80,1.1248
27,2,80,-2.9042
27,4,80,-10.874
27,6,80,-14.299
27,8,80,-15.067
27,10,80,-14.969
27,12,80,-11.434
27,14,80,-10.16
27,16,80,-18.445
27,18,80,-17.693
27,20,80,-29.262
27,22,80,-28.854
27,24,80,-29.132
27,26,80,-14.489
27,28,80,-25.881
27,30,80,-22.682
27,32,80,-29.927
27,34,80,-22.011
27,36,80,-27.25
27,38,80,-17.447
27,40,80,-27.988
27,42,80,-28.456
27,44,80,-24.965
27,46,80,-36.876
27,48,80,-16.837
27,50,80,-18.149
27,52,80,-20.082
27,54,80,-20.639
27,56,80,-34.081
27,58,80,-22.381
27,60,80,-21.727
27,62,80,-21.685
27,64,80,-24.316
27,66,80,-25.917
27,68,80,-34.441
27,70,80,-22.577
27,72,80,-26.865
27,74,80,-32.084
27,76,80,-18.624
27,78,80,-29.021
27,80,80,-20.328
27,82,80,-16.712
27,84,80,-21.878
27,86,80,-22.422
27,88,80,-21.537
27,90,80,-22.627
27,-90,82,-17.575
27,-88,82,-23.263
27,-86,82,-16.235
27,-84,82,-13.267
27,-82,82,-15.062
27,-80,82,-16.517
27,-78,82,-24.255
27,-76,82,-20.954
27,-74,82,-25.122
27,-72,82,-21.762
27,-70,82,-25.662
27,-68,82,-40.768
27,-66,82,-23.795
27,-64,82,-21.163
27,-62,82,-29.699
27,-60,82,-30.017
27,-58,82,-24.467
27,-56,82,-23.867
27,-54,82,-27.958
27,-52,82,-19.216
27,-50,82,-26.346
27,-48,82,-23.363
27,-46,82,-20.171
27,-44,82,-23.671
27,-42,82,-24.571
27,-40,82,-23.929
27,-38,82,-24.442
27,-36,82,-22.282
27,-34,82,-44.387
27,-32,82,-24.402
27,-30,82,-19.712
27,-28,82,-26.153
27,-26,82,-18.667
27,-24,82,-21.37
27,-22,82,-25.992
27,-20,82,-28.961
27,-18,82,-21.666
27,-16,82,-19.956
27,-14,82,-15.561
27,-12,82,-16.517
27,-10,82,-13.767
27,-8,82,-20.693
27,-6,82,-28.663
27,-4,82,-10.61
27,-2,82,-4.2042
27,0,82,1.2528
27,2,82,-3.0952
27,4,82,-11.998
27,6,82,-15.09
27,8,82,-16.439
27,10,82,-16.781
27,12,82,-10.809
27,14,82,-9.6562
27,16,82,-15.495
27,18,82,-19.539
27,20,82,-25.871
27,22,82,-25.428
27,24,82,-30.545
27,26,82,-12.206
27,28,82,-26.552
27,30,82,-24.007
27,32,82,-22.611
27,34,82,-24.46
27,36,82,-30.321
27,38,82,-23.465
27,40,82,-24.85
27,42,82,-19.986
27,44,82,-25.629
27,46,82,-28.038
27,48,82,-17.201
27,50,82,-20.631
27,52,82,-20.957
27,54,82,-24.255
27,56,82,-25.16
27,58,82,-24.932
27,60,82,-19.738
27,62,82,-21.431
27,64,82,-25.108
27,66,82,-19.14
27,68,82,-21.012
27,70,82,-26.468
27,72,82,-25.149
27,74,82,-25.577
27,76,82,-27.904
27,78,82,-29.95
27,80,82,-20.331
27,82,82,-22.342
27,84,82,-27.846
27,86,82,-18.554
27,88,82,-16.464
27,90,82,-20.575
27,-90,84,-23.52
27,-88,84,-24.761
27,-86,84,-16.96
27,-84,84,-18.072
27,-82,84,-16.027
27,-80,84,-16.812
27,-78,84,-22.141
27,-76,84,-29.857
27,-74,84,-31.976
27,-72,84,-14.403
27,-70,84,-22.371
27,-68,84,-39.647
27,-66,84,-22.295
27,-64,84,-24.746
27,-62,84,-24.834
27,-60,84,-25.659
27,-58,84,-20.805
27,-56,84,-22.888
27,-54,84,-32.417
27,-52,84,-16.469
27,-50,84,-35.502
27,-48,84,-24.938
27,-46,84,-18.698
27,-44,84,-25.567
27,-42,84,-23.359
27,-40,84,-23.513
27,-38,84,-25.018
27,-36,84,-20.12
27,-34,84,-25.776
27,-32,84,-27.328
27,-30,84,-17.201
27,-28,84,-30.848
27,-26,84,-17.641
27,-24,84,-20.751
27,-22,84,-25.146
27,-20,84,-31.658
27,-18,84,-18.33
27,-16,84,-17.906
27,-14,84,-14
27,-12,84,-14.449
27,-10,84,-13.8
27,-8,84,-19.841
27,-6,84,-27.35
27,-4,84,-10.575
27,-2,84,-4.3102
27,0,84,1.4278
27,2,84,-3.1332
27,4,84,-12.553
27,6,84,-16.01
27,8,84,-17.887
27,10,84,-19.029
27,12,84,-11.177
27,14,84,-9.8602
27,16,84,-14.135
27,18,84,-21.89
27,20,84,-22.831
27,22,84,-22.562
27,24,84,-30.899
27,26,84,-11.149
27,28,84,-22.54
27,30,84,-26.248
27,32,84,-19.245
27,34,84,-30.02
27,36,84,-28.504
27,38,84,-30.64
27,40,84,-21.173
27,42,84,-19.426
27,44,84,-29.349
27,46,84,-35.075
27,48,84,-21.059
27,50,84,-21.4
27,52,84,-31.704
27,54,84,-21.075
27,56,84,-25.417
27,58,84,-25.84
27,60,84,-21.403
27,62,84,-22.853
27,64,84,-23.795
27,66,84,-17.467
27,68,84,-19.754
27,70,84,-40.597
27,72,84,-19.678
27,74,84,-26.338
27,76,84,-17.487
27,78,84,-23.798
27,80,84,-31.302
27,82,84,-18.266
27,84,84,-22.396
27,86,84,-18.346
27,88,84,-16.634
27,90,84,-23.26
27,-90,86,-25.158
27,-88,86,-19.539
27,-86,86,-29.822
27,-84,86,-16.495
27,-82,86,-24.32
27,-80,86,-20.653
27,-78,86,-27.998
27,-76,86,-32.918
27,-74,86,-22.756
27,-72,86,-17.066
27,-70,86,-21.512
27,-68,86,-23.057
27,-66,86,-29.281
27,-64,86,-22.294
27,-62,86,-22.868
27,-60,86,-25.974
27,-58,86,-16.256
27,-56,86,-19.934
27,-54,86,-21.655
27,-52,86,-15.497
27,-50,86,-33.017
27,-48,86,-25.907
27,-46,86,-22.296
27,-44,86,-32.973
27,-42,86,-19.547
27,-40,86,-25.625
27,-38,86,-24.629
27,-36,86,-21.21
27,-34,86,-21.844
27,-32,86,-24.088
27,-30,86,-15.102
27,-28,86,-27.773
27,-26,86,-18.807
27,-24,86,-18.281
27,-22,86,-21.91
27,-20,86,-22.89
27,-18,86,-16.167
27,-16,86,-16.699
27,-14,86,-12.884
27,-12,86,-13.948
27,-10,86,-13.84
27,-8,86,-19.482
27,-6,86,-27.682
27,-4,86,-10.421
27,-2,86,-4.2332
27,0,86,1.5438
27,2,86,-3.1532
27,4,86,-13.02
27,6,86,-16.666
27,8,86,-18.465
27,10,86,-21.072
27,12,86,-11.742
27,14,86,-10.472
27,16,86,-13.368
27,18,86,-24.039
27,20,86,-21.065
27,22,86,-20.673
27,24,86,-28.397
27,26,86,-10.991
27,28,86,-19.921
27,30,86,-23.793
27,32,86,-17.952
27,34,86,-24.775
27,36,86,-27.479
27,38,86,-25.358
27,40,86,-20.095
27,42,86,-19.238
27,44,86,-50.191
27,46,86,-36.061
27,48,86,-22.917
27,50,86,-19.873
27,52,86,-28.172
27,54,86,-20.017
27,56,86,-22.921
27,58,86,-26.405
27,60,86,-20.292
27,62,86,-25.715
27,64,86,-20.861
27,66,86,-17.358
27,68,86,-17.286
27,70,86,-22.485
27,72,86,-16.941
27,74,86,-18.239
27,76,86,-28.825
27,78,86,-22.324
27,80,86,-16.773
27,82,86,-12.749
27,84,86,-18.818
27,86,86,-17.093
27,88,86,-15.34
27,90,86,-14
27,-90,88,-15.953
27,-88,88,-15.029
27,-86,88,-20.654
27,-84,88,-10.997
27,-82,88,-10.312
27,-80,88,-8.3982
27,-78,88,-16.421
27,-76,88,-18.114
27,-74,88,-16.912
27,-72,88,-15.563
27,-70,88,-19.253
27,-68,88,-19.013
27,-66,88,-31.029
27,-64,88,-26.889
27,-62,88,-30.943
27,-60,88,-22.938
27,-58,88,-14.935
27,-56,88,-16.903
27,-54,88,-18.302
27,-52,88,-12.794
27,-50,88,-32.841
27,-48,88,-20.409
27,-46,88,-21.413
27,-44,88,-29.262
27,-42,88,-18.386
27,-40,88,-26.055
27,-38,88,-22.17
27,-36,88,-23.11
27,-34,88,-18.713
27,-32,88,-20.375
27,-30,88,-14.954
27,-28,88,-23.021
27,-26,88,-22.815
27,-24,88,-14.663
27,-22,88,-17.912
27,-20,88,-20.28
27,-18,88,-14.883
27,-16,88,-16.103
27,-14,88,-12.618
27,-12,88,-13.269
27,-10,88,-13.015
27,-8,88,-21.197
27,-6,88,-27.48
27,-4,88,-10.098
27,-2,88,-4.5602
27,0,88,1.6518
27,2,88,-3.1112
27,4,88,-13.58
27,6,88,-17.588
27,8,88,-19.834
27,10,88,-21.442
27,12,88,-12.949
27,14,88,-11.755
27,16,88,-13.307
27,18,88,-24.222
27,20,88,-21.15
27,22,88,-17.883
27,24,88,-25.084
27,26,88,-10.854
27,28,88,-16.965
27,30,88,-20.209
27,32,88,-16.461
27,34,88,-22.258
27,36,88,-22.107
27,38,88,-26.262
27,40,88,-23.879
27,42,88,-16.812
27,44,88,-45.514
27,46,88,-32.911
27,48,88,-26.62
27,50,88,-18.237
27,52,88,-27.326
27,54,88,-17.883
27,56,88,-21.28
27,58,88,-25.855
27,60,88,-17.495
27,62,88,-23.666
27,64,88,-19.76
27,66,88,-17.271
27,68,88,-16.893
27,70,88,-21.556
27,72,88,-14.457
27,74,88,-13.833
27,76,88,-25.903
27,78,88,-20.857
27,80,88,-15.594
27,82,88,-14.439
27,84,88,-20.512
27,86,88,-15.664
27,88,88,-14.425
27,90,88,-12.119
27,-90,90,-14.103
27,-88,90,-13.844
27,-86,90,-16.478
27,-84,90,-7.4012
27,-82,90,-8.0552
27,-80,90,-7.3252
27,-78,90,-15.42
27,-76,90,-18.774
27,-74,90,-16.261
27,-72,90,-15.627
27,-70,90,-14.965
27,-68,90,-16.523
27,-66,90,-23.767
27,-64,90,-24.901
27,-62,90,-22.402
27,-60,90,-15.34
27,-58,90,-13.111
27,-56,90,-15.166
27,-54,90,-14.862
27,-52,90,-11.483
27,-50,90,-23.911
27,-48,90,-16.491
27,-46,90,-20.649
27,-44,90,-21.886
27,-42,90,-15.916
27,-40,90,-23.575
27,-38,90,-19.387
27,-36,90,-21.963
27,-34,90,-16.573
27,-32,90,-18.857
27,-30,90,-15.852
27,-28,90,-24.232
27,-26,90,-32.088
27,-24,90,-12.447
27,-22,90,-14.375
27,-20,90,-17.54
27,-18,90,-13.713
27,-16,90,-14.982
27,-14,90,-12.217
27,-12,90,-12.845
27,-10,90,-13.038
27,-8,90,-20.987
27,-6,90,-27.359
27,-4,90,-9.9042
27,-2,90,-4.7752
27,0,90,1.6648
27,2,90,-3.2242
27,4,90,-13.841
27,6,90,-17.894
27,8,90,-19.927
27,10,90,-26.337
27,12,90,-13.857
27,14,90,-13.724
27,16,90,-14.781
27,18,90,-23.537
27,20,90,-21.507
27,22,90,-19.647
27,24,90,-27.647
27,26,90,-12.006
27,28,90,-19.02
27,30,90,-20.132
27,32,90,-16.299
27,34,90,-21.234
27,36,90,-18.007
27,38,90,-25.388
27,40,90,-27.204
27,42,90,-16.119
27,44,90,-40.815
27,46,90,-35.055
27,48,90,-23.976
27,50,90,-19.788
27,52,90,-20.427
27,54,90,-18.508
27,56,90,-23.873
27,58,90,-26.182
27,60,90,-15.518
27,62,90,-19.648
27,64,90,-22.058
27,66,90,-20.879
27,68,90,-21.279
27,70,90,-22.355
27,72,90,-14.917
27,74,90,-14.894
27,76,90,-28.76
27,78,90,-21.49
27,80,90,-21.742
27,82,90,-16.914
27,84,90,-16.322
27,86,90,-15.719
27,88,90,-19.45
27,90,90,-17.784
27,-90,92,-18.884
27,-88,92,-17.361
27,-86,92,-21.24
27,-84,92,-10.751
27,-82,92,-12.013
27,-80,92,-9.5682
27,-78,92,-17.486
27,-76,92,-24.993
27,-74,92,-20.019
27,-72,92,-16.091
27,-70,92,-17.847
27,-68,92,-18.747
27,-66,92,-24.865
27,-64,92,-24.435
27,-62,92,-20.826
27,-60,92,-16.561
27,-58,92,-13.059
27,-56,92,-15.364
27,-54,92,-14.775
27,-52,92,-10.256
27,-50,92,-21.196
27,-48,92,-15.634
27,-46,92,-20.329
27,-44,92,-17.948
27,-42,92,-14.32
27,-40,92,-26.397
27,-38,92,-19.441
27,-36,92,-21.154
27,-34,92,-14.961
27,-32,92,-16.277
27,-30,92,-16.719
27,-28,92,-22.677
27,-26,92,-48.187
27,-24,92,-11.298
27,-22,92,-12.732
27,-20,92,-15.385
27,-18,92,-13.472
27,-16,92,-13.674
27,-14,92,-11.966
27,-12,92,-12.614
27,-10,92,-12.917
27,-8,92,-21.822
27,-6,92,-27.369
27,-4,92,-9.6142
27,-2,92,-4.8862
27,0,92,1.7538
27,2,92,-3.2362
27,4,92,-13.722
27,6,92,-19.277
27,8,92,-19.751
27,10,92,-27.346
27,12,92,-15.578
27,14,92,-15.527
27,16,92,-16.502
27,18,92,-21.14
27,20,92,-29.31
27,22,92,-18.228
27,24,92,-27.896
27,26,92,-13.22
27,28,92,-21.53
27,30,92,-18.682
27,32,92,-16.11
27,34,92,-19.058
27,36,92,-17.671
27,38,92,-26.956
27,40,92,-25.075
27,42,92,-18.315
27,44,92,-31.867
27,46,92,-34.716
27,48,92,-23.038
27,50,92,-23.044
27,52,92,-25.743
27,54,92,-17.377
27,56,92,-26.143
27,58,92,-22.529
27,60,92,-18.233
27,62,92,-22.429
27,64,92,-18.278
27,66,92,-24.352
27,68,92,-16.549
27,70,92,-28.073
27,72,92,-17.502
27,74,92,-18.479
27,76,92,-42.127
27,78,92,-27.495
27,80,92,-26.453
27,82,92,-22.129
27,84,92,-18.856
27,86,92,-18.933
27,88,92,-35.806
27,90,92,-21.91
27,-90,94,-17.434
27,-88,94,-37.082
27,-86,94,-26.369
27,-84,94,-16.694
27,-82,94,-43.098
27,-80,94,-15.882
27,-78,94,-18.256
27,-76,94,-23.957
27,-74,94,-19.943
27,-72,94,-17.214
27,-70,94,-18.58
27,-68,94,-19.552
27,-66,94,-25.222
27,-64,94,-25.692
27,-62,94,-22.234
27,-60,94,-16.702
27,-58,94,-14.096
27,-56,94,-15.922
27,-54,94,-14.13
27,-52,94,-10.896
27,-50,94,-23.3
27,-48,94,-18.431
27,-46,94,-18.87
27,-44,94,-17.683
27,-42,94,-14.377
27,-40,94,-26.72
27,-38,94,-18.82
27,-36,94,-20.335
27,-34,94,-14.982
27,-32,94,-15.698
27,-30,94,-19.328
27,-28,94,-23.573
27,-26,94,-31.926
27,-24,94,-11.396
27,-22,94,-11.544
27,-20,94,-13.58
27,-18,94,-13.456
27,-16,94,-13.368
27,-14,94,-12.089
27,-12,94,-12.534
27,-10,94,-13.14
27,-8,94,-21.4
27,-6,94,-33.92
27,-4,94,-10.023
27,-2,94,-5.1732
27,0,94,1.8118
27,2,94,-3.1622
27,4,94,-14.28
27,6,94,-19.222
27,8,94,-20.672
27,10,94,-28.141
27,12,94,-15.853
27,14,94,-18.955
27,16,94,-18.86
27,18,94,-19.53
27,20,94,-30.952
27,22,94,-21.014
27,24,94,-29.813
27,26,94,-14.245
27,28,94,-22.874
27,30,94,-18.721
27,32,94,-16.699
27,34,94,-21.395
27,36,94,-19.837
27,38,94,-25.469
27,40,94,-29.4
27,42,94,-21.497
27,44,94,-29.028
27,46,94,-42.024
27,48,94,-23.752
27,50,94,-24.1
27,52,94,-30.017
27,54,94,-16.08
27,56,94,-25.594
27,58,94,-23.191
27,60,94,-23.051
27,62,94,-28.461
27,64,94,-16.939
27,66,94,-25.144
27,68,94,-18.45
27,70,94,-22.169
27,72,94,-19.899
27,74,94,-18.025
27,76,94,-28.742
27,78,94,-22.98
27,80,94,-15.143
27,82,94,-19.287
27,84,94,-16.814
27,86,94,-26.164
27,88,94,-18.713
27,90,94,-16.162
27,-90,96,-14.42
27,-88,96,-24.37
27,-86,96,-19.335
27,-84,96,-17.857
27,-82,96,-12.983
27,-80,96,-18.501
27,-78,96,-24.293
27,-76,96,-26.244
27,-74,96,-35.124
27,-72,96,-22.57
27,-70,96,-27.824
27,-68,96,-21.54
27,-66,96,-22.278
27,-64,96,-28.656
27,-62,96,-23.14
27,-60,96,-18.109
27,-58,96,-16.348
27,-56,96,-19.645
27,-54,96,-15.614
27,-52,96,-12.831
27,-50,96,-26.604
27,-48,96,-17.66
27,-46,96,-18.097
27,-44,96,-18.964
27,-42,96,-14.994
27,-40,96,-30.075
27,-38,96,-20.082
27,-36,96,-20.777
27,-34,96,-15.48
27,-32,96,-16.451
27,-30,96,-18.564
27,-28,96,-24.712
27,-26,96,-45.696
27,-24,96,-11.092
27,-22,96,-11.244
27,-20,96,-12.958
27,-18,96,-12.981
27,-16,96,-13.764
27,-14,96,-12.766
27,-12,96,-12.784
27,-10,96,-12.895
27,-8,96,-19.865
27,-6,96,-39.513
27,-4,96,-10.092
27,-2,96,-5.1922
27,0,96,1.7778
27,2,96,-3.1582
27,4,96,-13.628
27,6,96,-19.246
27,8,96,-20.479
27,10,96,-27.369
27,12,96,-17.073
27,14,96,-22.508
27,16,96,-21.668
27,18,96,-18.551
27,20,96,-40.002
27,22,96,-33.503
27,24,96,-36.348
27,26,96,-15.669
27,28,96,-19.582
27,30,96,-20.173
27,32,96,-17.122
27,34,96,-23.17
27,36,96,-23.537
27,38,96,-25.66
27,40,96,-29.441
27,42,96,-24.097
27,44,96,-24.461
27,46,96,-35.187
27,48,96,-25.214
27,50,96,-29.954
27,52,96,-31.773
27,54,96,-18.535
27,56,96,-37.104
27,58,96,-19.564
27,60,96,-19.927
27,62,96,-30.527
27,64,96,-33.217
27,66,96,-24.323
27,68,96,-22.212
27,70,96,-18.797
27,72,96,-24.059
27,74,96,-20.931
27,76,96,-26.492
27,78,96,-23.764
27,80,96,-15.593
27,82,96,-19.999
27,84,96,-20.149
27,86,96,-15.238
27,88,96,-17.092
27,90,96,-40.82
27,-90,98,-16.301
27,-88,98,-22.057
27,-86,98,-16.878
27,-84,98,-17.428
27,-82,98,-10.472
27,-80,98,-16.505
27,-78,98,-24.868
27,-76,98,-24.4
27,-74,98,-19.516
27,-72,98,-30.209
27,-70,98,-26.307
27,-68,98,-20.718
27,-66,98,-22.649
27,-64,98,-32.671
27,-62,98,-27.61
27,-60,98,-22.395
27,-58,98,-23.469
27,-56,98,-27.441
27,-54,98,-19.955
27,-52,98,-16.254
27,-50,98,-28.687
27,-48,98,-18.702
27,-46,98,-21.158
27,-44,98,-24.94
27,-42,98,-15.659
27,-40,98,-30.102
27,-38,98,-20.494
27,-36,98,-22.865
27,-34,98,-16.824
27,-32,98,-16.852
27,-30,98,-20.695
27,-28,98,-23.703
27,-26,98,-30.092
27,-24,98,-11.951
27,-22,98,-12.489
27,-20,98,-12.452
27,-18,98,-13.789
27,-16,98,-13.451
27,-14,98,-12.754
27,-12,98,-13.316
27,-10,98,-12.898
27,-8,98,-19.414
27,-6,98,-31.457
27,-4,98,-10.342
27,-2,98,-5.3262
27,0,98,1.8928
27,2,98,-3.2662
27,4,98,-13.865
27,6,98,-18.711
27,8,98,-20.466
27,10,98,-28.822
27,12,98,-18.341
27,14,98,-21.032
27,16,98,-23.68
27,18,98,-18.493
27,20,98,-25.249
27,22,98,-34.101
27,24,98,-35.741
27,26,98,-17.137
27,28,98,-17.518
27,30,98,-19.827
27,32,98,-18.906
27,34,98,-26.21
27,36,98,-27.169
27,38,98,-21.009
27,40,98,-30.05
27,42,98,-31.681
27,44,98,-19.37
27,46,98,-41.522
27,48,98,-22.965
27,50,98,-30.802
27,52,98,-25.37
27,54,98,-26.8
27,56,98,-33.258
27,58,98,-18.613
27,60,98,-18.085
27,62,98,-27.712
27,64,98,-20.816
27,66,98,-22.01
27,68,98,-25.011
27,70,98,-19.487
27,72,98,-20.011
27,74,98,-19.456
27,76,98,-26.908
27,78,98,-24.491
27,80,98,-18.033
27,82,98,-18.168
27,84,98,-28.681
27,86,98,-20.325
27,88,98,-20.974
27,90,98,-22.403
27,-90,100,-20.776
27,-88,100,-20.791
27,-86,100,-17.678
27,-84,100,-18.176
27,-82,100,-13.986
27,-80,100,-19.033
27,-78,100,-21.579
27,-76,100,-27.483
27,-74,100,-20.781
27,-72,100,-31.426
27,-70,100,-27.606
27,-68,100,-23.778
27,-66,100,-24.607
27,-64,100,-23.229
27,-62,100,-27.247
27,-60,100,-25.895
27,-58,100,-29.234
27,-56,100,-28.361
27,-54,100,-29.245
